"homename"	"homecontinent"	"homecountry"	"homelat"	"homelon"	"travellon"	"travellat"
"Sydney, Australia"	"Australia"	"Australia"	-33.8688197	151.2092955	151.29242	-33.7732
"Minneapolis - San Francisco"	"North America"	"United States of America"	44.8847554	-93.2222846	-38.4767	-12.9747
"Minneapolis - San Francisco"	"North America"	"United States of America"	44.8847554	-93.2222846	-120.648	35.1483
"Minneapolis - San Francisco"	"North America"	"United States of America"	44.8847554	-93.2222846	-38.4767	-12.9747
"Los Angeles"	"North America"	"United States of America"	34.0522342	-118.2436849	11.59083333	48.14666667
"UK"	"Europe"	"United Kingdom"	55.378051	-3.435973	-5.09723495	50.41792859
"California, USA"	"North America"	"United States of America"	36.778261	-119.4179324	-159.4958861	22.20321232
"México"	"South America"	"Mexico"	23.634501	-102.552784	-99.21846171	19.44379249
"London - LA - Nice "	"North America"	"United States of America"	34.0787215	-118.3768818	18.59019432	-33.96861227
"denpasar"	"Asia"	"Indonesia"	-8.6704582	115.2126293	115.25086805	-8.71221381
"Tamarama, Sydney"	"Australia"	"Australia"	-33.898	151.268	151.278611	-33.8925
"Tamarama, Sydney"	"Australia"	"Australia"	-33.898	151.268	151.278611	-33.8925
"guildford"	"Europe"	"United Kingdom"	51.23622	-0.570409	-4.19773073	51.18256599
"Dhaka, Bangladesh"	"Asia"	"Bangladesh"	23.810332	90.4125181	90.4167	23.7
"Adelaide, South Australia"	"Australia"	"Australia"	-34.9284989	138.6007456	138.51110805	-34.97912408
"Adelaide, South Australia"	"Australia"	"Australia"	-34.9284989	138.6007456	138.51175468	-34.98020621
"Sydney"	"Australia"	"Australia"	-33.8688197	151.2092955	151.25723	-33.94868
"Sydney"	"Australia"	"Australia"	-33.8688197	151.2092955	151.278611	-33.8925
"Sydney"	"Australia"	"Australia"	-33.8688197	151.2092955	151.25723	-33.94868
"Maine - Florida"	"North America"	"United States of America"	28.8516126	-81.6611271	-80.11969	25.8486
"Maine - Florida"	"North America"	"United States of America"	28.8516126	-81.6611271	-80.1341	25.813
"Jamhuri ya Kenya "	"Africa"	"Kenya"	-0.023559	37.906193	36.81370059	-1.30858704
"Chonburi, Thailand"	"Asia"	"Thailand"	13.3611431	100.9846717	120.06474439	15.01947835
"Bordeaux"	"Europe"	"France"	44.837789	-0.57918	-1.44069029	43.6789682
"kauai, hi & portland, or"	"North America"	"United States of America"	22.0964396	-159.5261238	-159.31851508	22.07482048
"Geelong, Victoria"	"Australia"	"Australia"	-38.1499181	144.3617186	144.32506415	-38.33512687
"BANGKOK CITY"	"North America"	"United States of America"	32.7992174	-96.7793811	99.98570272	12.79983532
"Maringá, Paraná"	"South America"	"Brazil"	-23.4209995	-51.9330558	-51.9329	-23.4183
"ÜT: -7.3712902,112.7372422"	"North America"	"United States of America"	40.5994169	-112.4259859	112.46665955	-6.89269352
"ÜT: -7.3712902,112.7372422"	"North America"	"United States of America"	40.5994169	-112.4259859	112.46665955	-6.89269352
"Switzerland"	"Europe"	"Switzerland"	46.818188	8.227512	33.18333333	34.74277778
"Aceh, Indonesia"	"Asia"	"Indonesia"	4.695135	96.7493993	95.234903	5.476867
"Aceh, Indonesia"	"Asia"	"Indonesia"	4.695135	96.7493993	95.234903	5.476867
"Chile"	"South America"	"Chile"	-35.675147	-71.542969	-71.3003	-29.515
"Aliso Viejo, CA"	"North America"	"United States of America"	33.5676842	-117.7256083	-118.13561649	33.75563365
"London Sofar "	"Europe"	"United Kingdom"	51.5243489	-0.0732477	-13.86947228	28.73449585
"London Sofar "	"Europe"	"United Kingdom"	51.5243489	-0.0732477	-13.86947228	28.73449585
"Andalucía"	"Europe"	"Spain"	37.5442706	-4.7277528	-6.15442049	36.3176644
"Andalucía"	"Europe"	"Spain"	37.5442706	-4.7277528	-6.06845	36.23449
"Andalucía"	"Europe"	"Spain"	37.5442706	-4.7277528	-6.13583333	36.29333333
"Andalucía"	"Europe"	"Spain"	37.5442706	-4.7277528	-6.06845	36.23449
"Italy"	"Europe"	"Italy"	41.87194	12.56738	-8.6814199	37.09536
"Italy"	"Europe"	"Italy"	41.87194	12.56738	11.95699172	42.01677228
"Italy"	"Europe"	"Italy"	41.87194	12.56738	9.143475	44.36208889
"Italy"	"Europe"	"Italy"	41.87194	12.56738	9.14244179	44.36077455
"Italy"	"Europe"	"Italy"	41.87194	12.56738	11.95699172	42.01677228
"Italy"	"Europe"	"Italy"	41.87194	12.56738	9.14211383	44.36084277
"Italy"	"Europe"	"Italy"	41.87194	12.56738	11.95699172	42.01677228
"Italy"	"Europe"	"Italy"	41.87194	12.56738	11.95699172	42.01677228
"Italy"	"Europe"	"Italy"	41.87194	12.56738	12.47891055	41.85640898
"Italy"	"Europe"	"Italy"	41.87194	12.56738	11.95699172	42.01677228
"Zarate"	"South America"	"Argentina"	-34.0957811	-59.0242302	-56.973183	-37.256524
"Zarate"	"South America"	"Argentina"	-34.0957811	-59.0242302	-56.973183	-37.256524
"Melbourne, Victoria"	"Australia"	"Australia"	-37.813611	144.963056	146.0413	-38.81096
"Melbourne, Victoria"	"Australia"	"Australia"	-37.813611	144.963056	144.80208	-38.40161
"Melbourne, Victoria"	"Australia"	"Australia"	-37.813611	144.963056	145.12457012	-38.04411683
"Melbourne, Victoria"	"Australia"	"Australia"	-37.813611	144.963056	145.0740898	-38.4232349
"Lebanon"	"Asia"	"Lebanon"	33.854721	35.862285	35.38703695	33.59060626
"Malaysia"	"Asia"	"Malaysia"	4.210484	101.975766	102.45643084	2.22777302
"Winchester Virginia "	"North America"	"United States of America"	39.1856597	-78.1633341	-80.1060087	26.1096845
"愛知県豊橋市"	"Asia"	"Japan"	34.7691995	137.3914662	-117.595	33.385
"愛知県豊橋市"	"Asia"	"Japan"	34.7691995	137.3914662	137.4005612	34.83775156
"愛知県豊橋市"	"Asia"	"Japan"	34.7691995	137.3914662	140.39919636	35.32639673
"Managua, Nicaragua"	"South America"	"Nicaragua"	12.1149926	-86.2361744	-87.3860693	12.67203587
"Maldonado, Uruguay"	"South America"	"Uruguay"	-34.905408	-54.9501708	-55.2716589	-34.88818391
"Maldonado, Uruguay"	"South America"	"Uruguay"	-34.905408	-54.9501708	-54.86015208	-34.91503455
"seoul/korea"	"Asia"	"South Korea"	37.566535	126.9779692	-118.47274	33.98575
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	-22.90594768	16.59823712
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	12.17301834	41.88078765
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	12.3	41.75
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	-80.12025692	25.8588646
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	12.17301834	41.88078765
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	-22.90594768	16.59823712
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	-80.1341	25.813
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	-22.90594768	16.59823712
"Milan - Italy"	"Europe"	"Italy"	45.4654219	9.1859243	12.17301834	41.88078765
"Laudio"	"Europe"	"Spain"	43.1434506	-2.9579897	-4.4	43.4333
"Argentina"	"South America"	"Argentina"	-38.416097	-63.616672	-57.53831863	-38.08113567
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.45211	20.732092
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.45211	20.732092
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.457	20.7591
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.457	20.7591
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.45207536	20.73103446
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.457	20.7591
"Mandaluyong City"	"Asia"	"Philippines"	14.5794443	121.0359174	-156.457	20.7591
"united kingdom"	"Europe"	"United Kingdom"	55.378051	-3.435973	115.7331	-31.78556
"UK and Melbourne"	"Europe"	"United Kingdom"	52.8237454	-1.4285691	153.09082045	-26.3867073
"UK"	"Europe"	"United Kingdom"	55.378051	-3.435973	-5.08333	50.4167
"日本 静岡"	"Asia"	"Japan"	34.975562	138.3827596	138.20473284	34.68270198
